6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6-
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6-
1,1,1,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,6-
4,4,4,1,6,6,6,6,6,1,4,4,4,4,4,4,4,1,6-
7,9,4,1,6,6,6,6,6,1,4,11,7,7,7,9,4,1,6-
1,8,4,1,1,1,1,1,6,1,4,8,1,3,1,8,4,1,6-
2,8,4,4,4,4,4,1,6,1,4,8,2,6,2,8,4,1,6-
2,12,7,7,7,9,4,1,6,1,4,8,2,6,2,8,4,1,6-
1,3,3,3,2,8,4,1,6,1,4,8,2,6,2,8,4,1,6-
6,6,6,6,2,8,4,1,6,1,4,8,2,6,2,8,4,1,6-
6,6,6,6,2,8,4,1,1,1,4,8,2,6,2,8,4,1,1-
6,6,6,6,2,8,4,4,4,4,4,8,2,6,2,8,4,4,4-
6,6,6,6,2,12,7,7,7,7,7,10,2,6,2,12,7,7,7-
6,6,6,6,1,3,3,3,3,3,3,3,1,6,1,3,3,3,3-
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6-
