6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6- 
3,3,3,3,1,6,6,1,3,3,3,3,3,3,1,6,6,6,6-
7,7,7,9,2,6,6,2,11,7,7,7,7,9,2,6,6,6,6-
3,3,1,8,2,6,6,2,8,1,3,3,1,8,2,6,6,6,6-
6,6,2,8,1,3,3,1,8,2,6,6,2,8,1,3,3,1,6-
6,6,2,12,7,7,7,7,10,2,6,6,2,12,7,7,9,2,6-
6,6,1,3,3,3,3,3,3,1,6,6,1,3,3,1,8,2,6-
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,8,2,6-
6,6,1,3,3,3,3,3,3,3,3,3,3,3,3,1,8,2,6-
6,6,2,11,7,7,7,7,7,7,7,7,7,7,7,7,10,2,6-
6,6,2,8,1,3,3,3,3,3,3,3,3,3,3,3,3,1,6-
6,6,2,8,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6-
6,6,2,8,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3-
6,6,2,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7-
6,6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3-
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6-

