6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6- 
4,4,4,4,4,6,6,4,4,4,4,4,4,4,4,6,6,6,6-
7,7,7,9,4,6,6,4,11,7,7,7,7,9,4,6,6,6,6-
4,4,4,8,4,6,6,4,8,4,4,4,4,8,4,6,6,6,6-
6,6,4,8,4,4,4,4,8,4,6,6,4,8,4,4,4,4,6-
6,6,4,12,7,7,7,7,10,4,6,6,4,12,7,7,9,4,6-
6,6,4,4,4,4,4,4,4,4,6,6,4,4,4,4,8,4,6-
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,8,4,6-
6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4,6-
6,6,4,11,7,7,7,7,7,7,7,7,7,7,7,7,10,4,6-
6,6,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6-
6,6,4,8,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6-
6,6,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4-
6,6,4,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7-
6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4-
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6-

